異動,藥品代號,藥品英文名稱,藥品中文名稱,成分,劑量,規格,單複方,支付價,有效起日,有效迄日,藥商,廠商,製造廠名稱,劑型,藥品分類,分類分組名稱,ATC代碼,給付規定章節,2023年數量,2024年數量,2025年數量,2026年(1-5月)數量,藥品代碼超連結,給付規定章節連結
,A000015421,Yen Kuang Eye Drops,眼光眼藥水,Sulfamethoxazole,20mg/ml,5ml,單方,0,1070101,9991231,五福化學製藥股份有限公司,五福,五福化學製藥股份有限公司,點眼液劑,一般學名藥,"Sulfamethoxazole,眼用液劑,20mg/ml,5ml",S01AB91,,0,0,0,0,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000015,
,A000015435,Yen Kuang Eye Drops,眼光眼藥水,Sulfamethoxazole,20mg/ml,15ml,單方,0,920301,9991231,五福化學製藥股份有限公司,五福,五福化學製藥股份有限公司,點眼液劑,一般學名藥,"Sulfamethoxazole,眼用液劑,20mg/ml,15ml",S01AB91,,0,0,0,0,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000015,
,A000023100,Nydrazid Tablets 100mg,癆得治片１００公絲,Isoniazid,100mg,,單方,0,900101,9991231,中國化學製藥股份有限公司新豐工廠,中化,中國化學製藥股份有限公司新豐工廠,錠劑,一般學名藥,"Isoniazid,一般錠劑膠囊劑,100mg",J04AC01,,0,0,0,0,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000023,
,A000058199,"Meweily Granules ""Tolin""",邁胃利顆粒,Dicyclomine 5mg/gm+Aluminum Hydroxide 400mg/gm+Magnesium Oxide 200mg/gm,,1gm,複方,0,981001,9991231,東菱藥品工業有限公司,東菱,東菱藥品工業有限公司,內服顆粒劑,一般學名藥,"Dicyclomine 5mg/gm+Aluminum Hydroxide 400mg/gm+Magnesium Oxide 200mg/gm,口服顆粒劑,1gm",A02AG,7.1.,0,0,0,0,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000058,https://info.nhi.gov.tw/api/INAE3000/INAE3000S01/getPDF?DurgFileName=7.1._20240801.pdf
,A000059100,"Diapin Tablets 2mg (Diazepam) ""Pine Lawer""","""柏理"" 當立平錠２毫克（二氮平）",Diazepam,2mg,,單方,0,1010101,9991231,韋淳貿易股份有限公司,韋淳,瑞士藥廠股份有限公司新市廠,錠劑,一般學名藥,"Diazepam,一般錠劑膠囊劑,2mg",N05BA01,,0,0,0,0,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000059,
,A0000591G0,"Diapin Tablets 2mg (Diazepam) ""Pine Lawer""","""柏理"" 當立平錠２毫克（二氮平）",Diazepam,2mg,,單方,0,1010101,9991231,韋淳貿易股份有限公司,韋淳,瑞士藥廠股份有限公司新市廠,錠劑,一般學名藥,"Diazepam,一般錠劑膠囊劑,2mg",N05BA01,,0,0,0,0,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000059,
,A000072100,"Ephedrine Hcl Tablets 25mg ""H.S.""","""黃氏"" 鹽酸麻黃鹼錠２５毫克",Ephedrine,25mg,,單方,0.56,1030701,9991231,黃氏製藥股份有限公司,黃氏,黃氏製藥股份有限公司,錠劑,一般學名藥,"Ephedrine,一般錠劑膠囊劑,25mg",R03CA02,,1761.5,2695.5,3793.5,1210,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000072,
,A000076100,"Acetaminophen Tablets 0.3gm ""F.Y.""",安世多阿米諾思錠０．３公克,Acetaminophen,300mg,,單方,0.25,1030701,9991231,福元化學製藥股份有限公司,福元,福元化學製藥股份有限公司,錠劑,一般學名藥,"Acetaminophen,一般錠劑膠囊劑,300mg",N02BE01,,450746.2,530741.1,485344.2,196044.4,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000076,
,A000081100,Tetracin Capsules,百合黴素膠囊,Tetracycline,250mg,,單方,0,920301,9991231,人人化學製藥股份有限公司,人人,臺灣派頓化學製藥股份有限公司,膠囊劑,一般學名藥,"Tetracycline,一般錠劑膠囊劑,250mg",J01AA07,10.1.,0,0,0,0,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000081,https://info.nhi.gov.tw/api/INAE3000/INAE3000S01/getPDF?DurgFileName=10.1._20250101.pdf
,A000096100,Menna Capsules,明那膠囊,Diphenhydramine,50mg,,單方,0.48,840301,9991231,強生化學製藥廠股份有限公司,強生,強生化學製藥廠股份有限公司,膠囊劑,一般學名藥,"Diphenhydramine,一般錠劑膠囊劑,50mg",R06AA02,,352529.3,482086.2,527224.1,240440.7,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000096,
